question,answer,intent,keywords,category,answer_format
Windowsのパスワードを忘れました。,"Windowsのパスワードを忘れた場合は、パスワード再設定画面から再設定してください。

手順:
1. ログイン画面で『パスワードを忘れた場合』を選択します。
2. 社内メールアドレスを入力します。
3. 認証コードを入力し、新しいパスワードを設定します。

解決しない場合は情報システム部へ連絡してください。",Windowsログイン用パスワードを再設定したい,"ログインできない, サインインできない, パスワード忘れた, アカウントロック, 認証エラー, リセット",アカウント / パスワード,markdown
アカウントがロックされました。,"アカウントがロックされた場合は、一定時間待つか、情報システム部へロック解除を依頼してください。

手順:
1. 直近でパスワードを複数回間違えていないか確認します。
2. 15分待って再度ログインします。
3. 解除されない場合は、社員番号と対象システム名を添えて情シスへ連絡してください。",ログイン失敗によるアカウントロックを解除したい,"ロック, 入れない, ログイン失敗, パスワード間違い, 解除, 認証エラー",アカウント / パスワード,markdown
VPNに接続できません。,"VPNに接続できない場合は、ネットワーク接続、ID・パスワード、ワンタイムパスワードを順番に確認してください。

手順:
1. Wi-Fiまたは有線LANが接続されているか確認します。
2. VPNソフトを再起動します。
3. ID・パスワードを再入力します。
4. ワンタイムパスワードの有効期限を確認します。",社外または在宅勤務中にVPNへ接続できない問題を解決したい,"VPN, つながらない, 接続できない, 在宅, 社外, 認証エラー, ワンタイムパスワード",ネットワーク / VPN,markdown
Outlookでメールが受信できません。,"Outlookでメールを受信できない場合は、ネットワーク接続とOutlookの再起動を確認してください。

手順:
1. Web版Outlookでメールが見られるか確認します。
2. Outlookアプリを再起動します。
3. 送受信ボタンを押します。
4. 解決しない場合はエラー内容を添えて情シスへ連絡してください。",OutlookまたはMicrosoft 365メールの受信トラブルを解決したい,"Outlook, メール, 受信できない, 見れない, 届かない, Microsoft 365, Exchange",メール / Outlook,markdown
メールが送信できません。,"メールが送信できない場合は、宛先、添付ファイル容量、ネットワーク接続を確認してください。

手順:
1. 宛先メールアドレスに誤りがないか確認します。
2. 添付ファイルが大きすぎないか確認します。
3. Web版Outlookから送信できるか確認します。
4. エラー文が出る場合は画面コピーを添えて情シスへ連絡してください。",Outlookまたはメール送信のエラーを解決したい,"Outlook, メール, 送信できない, 送れない, 添付, エラー, 配信不能",メール / Outlook,markdown
プリンタで印刷できません。,"印刷できない場合は、プリンタの電源、用紙、接続先プリンタを確認してください。

手順:
1. プリンタの電源とエラーランプを確認します。
2. 用紙切れ・紙詰まりがないか確認します。
3. PCで選択しているプリンタ名を確認します。
4. 一度印刷ジョブを削除して再印刷します。",社内プリンタで印刷できない問題を解決したい,"プリンタ, プリンター, 印刷できない, 出力できない, 紙詰まり, ジョブ, 複合機",プリンタ / 印刷,markdown
PCが重くて作業できません。,"PCが重い場合は、再起動、不要アプリ終了、空き容量確認を行ってください。

手順:
1. PCを再起動します。
2. 使っていないアプリを終了します。
3. Cドライブの空き容量を確認します。
4. 改善しない場合は、機種名と症状を情シスへ連絡してください。",PCの動作が遅い・固まる問題を改善したい,"PC, パソコン, 重い, 遅い, 固まる, フリーズ, 再起動, 空き容量",PC / 端末,markdown
共有フォルダにアクセスできません。,"共有フォルダへアクセスできない場合は、VPN接続、権限、パスを確認してください。

手順:
1. 社外の場合はVPNに接続します。
2. フォルダパスが正しいか確認します。
3. 権限がない場合は上長承認後に申請してください。",共有フォルダやファイルサーバーにアクセスできない問題を解決したい,"共有フォルダ, ファイルサーバー, アクセスできない, 権限, ネットワークドライブ, パス",ファイル共有 / 権限,markdown
社内システムの利用権限を申請したいです。,"社内システムの権限追加は、上長承認後に申請してください。

手順:
1. 対象システム名を確認します。
2. 必要な権限内容を整理します。
3. 上長承認を取得します。
4. 申請フォームから依頼します。",社内システムのアカウント権限や利用権限を申請したい,"権限, 申請, アカウント追加, 利用申請, 承認, 社内システム, ID発行",申請 / 権限,markdown
Microsoft Teamsの会議に参加できません。,"Teams会議に参加できない場合は、アプリ再起動、ブラウザ参加、カメラ・マイク権限を確認してください。

手順:
1. Teamsアプリを再起動します。
2. 会議URLをブラウザで開きます。
3. カメラ・マイクの許可設定を確認します。
4. 改善しない場合は会議URLとエラー内容を情シスへ連絡してください。",Teams会議への参加や音声・映像トラブルを解決したい,"Teams, 会議, 参加できない, 音が出ない, マイク, カメラ, ブラウザ参加",Microsoft 365 / Teams,markdown
