"faq_id","question","answer","intent","keywords","category","answer_format","enabled","updated_at","updated_by","note","required_keywords","exclude_keywords","ambiguity_keywords","prefer_candidate","auto_answer_allowed"
"FAQ-000001","セキュリティチェックシート提出許可申請の申請書はどの書式を使用したらよいですか？","システム作業申請書「書式3_システム作業申請書_責任者承認まで.xlsx」でお願いします。","セキュリティチェックシート提出許可申請で使用する申請書式を確認したい","セキュリティチェックシート提出許可申請,セキュリティチェックシート,提出許可,申請書,書式,システム作業申請書,責任者承認,書式3","申請書・セキュリティ","markdown","TRUE","2026-05-03 19:30:23","admin","12","セキュリティチェックシート提出許可","起案書、システム導入、サイトアクセス許可、アカウント権限、機器貸与、プリンタ、VPN","","False","True"
"FAQ-000002","社内システムの管理者権限付与（社内）の申請書はどの書式を使用したらよいですか？","システム作業申請書「書式3_システム作業申請書_責任者承認まで.xlsx」でお願いします。","社内システムの管理者権限付与申請で使用する申請書式を確認したい","社内システム,管理者権限,権限付与,管理者権限付与,社内,申請書,書式,システム作業申請書,責任者承認,書式3","申請書・権限管理","markdown","TRUE","2026-05-03 19:30:23","admin","12","管理者権限、権限付与","パスワード、ロック、初期パスワード、プリンタ、VPN、起案書、サイトアクセス許可","","False","True"
"FAQ-000003","システム導入（外部システム・新規アプリケーション）の申請書はどの書式を使用したらよいですか？","システム作業申請書「書式3_システム作業申請書_責任者承認まで.xlsx」でお願いします。","外部システムや新規アプリケーションの導入申請で使用する申請書式を確認したい","システム導入,外部システム,新規アプリケーション,アプリ導入,新規アプリ,導入申請,申請書,書式,責任者承認,書式3","申請書・システム導入","markdown","TRUE","2026-05-03 19:30:23","admin","12","新規アプリケーション、システム導入、外部システム","起案書、サイトアクセス許可、セキュリティチェックシート、アプリインストール、アカウント権限、機器貸与、回線、VPN、プリンタ","","False","True"
"FAQ-000004","システム導入検討のためのトライアル利用及び権限付与の申請書はどの書式を使用したらよいですか？","システム作業申請書「書式3_システム作業申請書_責任者承認まで.xlsx」でお願いします。","システム導入検討のトライアル利用や権限付与申請で使用する申請書式を確認したい","トライアル利用,試用,システム導入検討,権限付与,検証利用,PoC,申請書,書式,責任者承認,書式3","申請書・システム導入","markdown","TRUE","2026-05-03 19:30:23","admin","12","システム導入検討、トライアル利用","起案書、サイトアクセス許可、セキュリティチェックシート、アプリインストール、アカウント権限、機器貸与、回線、VPN、プリンタ","","False","True"
"FAQ-000005","顧客指定システム利用申請""の申請書はどの書式を使用したらよいですか？","システム作業申請書「書式3_システム作業申請書_責任者承認まで.xlsx」でお願いします。","顧客指定システム利用申請で使用する申請書式を確認したい","顧客指定システム,顧客システム,指定システム,システム利用申請,利用申請,申請書,書式,責任者承認,書式3","申請書・顧客指定","markdown","TRUE","2026-05-03 19:30:23","admin","12","顧客指定システム","起案書、サイトアクセス許可、システム導入、アカウントロック、プリンタ、VPN、購買、購入、見積、稟議","","False","True"
"FAQ-000006","アカウント権限 作成・設定・解除の申請書はどの書式を使用したらよいですか？","システム作業申請書「書式2_日々依頼系_システム作業申請書.xlsxでお願いします。」でお願いします。","アカウント権限の作成・設定・解除申請で使用する申請書式を確認したい","アカウント権限,アカウント作成,権限設定,権限解除,ID作成,ID削除,アクセス権,申請書,書式,日々依頼系,書式2","申請書・アカウント権限","markdown","TRUE","2026-05-03 19:30:23","admin","12","アカウント権限","パスワード、ロック、初期パスワード、プリンタ、VPN、起案書、サイトアクセス許可","","False","True"
"FAQ-000007","アプリインストール依頼の申請書はどの書式を使用したらよいですか？","システム作業申請書「書式2_日々依頼系_システム作業申請書.xlsxでお願いします。」でお願いします。","アプリインストール依頼で使用する申請書式を確認したい","アプリインストール,ソフトインストール,アプリ追加,ソフト追加,インストール依頼,アプリ利用,申請書,書式,日々依頼系,書式2","申請書・アプリ","markdown","TRUE","2026-05-03 19:30:23","admin","12","アプリインストール、インストール依頼","システム導入、起案書、サイトアクセス許可、プリンタ、VPN、パスワード、ロック","","False","True"
"FAQ-000008","回線/回線機器 設置・移動・撤去の申請書はどの書式を使用したらよいですか？","システム作業申請書「書式2_日々依頼系_システム作業申請書.xlsxでお願いします。」でお願いします。","回線または回線機器の設置・移動・撤去申請で使用する申請書式を確認したい","回線,回線機器,ネットワーク機器,設置,移動,撤去,LAN,ルーター,スイッチ,申請書,書式,日々依頼系,書式2","申請書・ネットワーク","markdown","TRUE","2026-05-03 19:30:23","admin","12","回線機器、回線","プリンタ、印刷、メール、Outlook、パスワード、起案書、VPN、Wi-Fi、無線LAN、有線LAN、プロキシ","","False","True"
"FAQ-000009","アカウント権限 作成・設定・解除の申請書はどの書式を使用したらよいですか？","システム作業申請書「書式2_日々依頼系_システム作業申請書.xlsxでお願いします。」でお願いします。","アカウント権限の作成・設定・解除申請で使用する申請書式を確認したい","アカウント権限,アカウント作成,権限設定,権限解除,ID作成,ID削除,アクセス権,申請書,書式,日々依頼系,書式2","申請書・アカウント権限","markdown","TRUE","2026-05-03 19:30:23","admin","12","アカウント権限","パスワード、ロック、初期パスワード、プリンタ、VPN、起案書、サイトアクセス許可","","False","True"
"FAQ-000010","NeoPortal管理の申請書はどの書式を使用したらよいですか？","システム作業申請書「書式2_日々依頼系_システム作業申請書.xlsxでお願いします。」でお願いします。","NeoPortal管理に関する申請で使用する申請書式を確認したい","NeoPortal,ネオポータル,ポータル,NeoPortal管理,管理申請,権限,設定,申請書,書式,日々依頼系,書式2","申請書・業務","markdown","TRUE","2026-05-03 19:30:23","admin","12","NeoPortal","起案書、サイトアクセス許可、システム導入、アカウントロック、プリンタ、VPN、購買、購入、見積、稟議","","False","True"
