"question","answer","category"
"ストレスがたまった","少し気分転換して休憩しましょう","その他試験"
"腹減った","そろそろ昼ご飯食べるタイミングかもです。","その他試験"
"ディスプレイが付かない。ツ","交換かもしれません。コウカン","PC周辺機器シュウヘンキキ"
"この場所暑い","クーラーの温度を下げてください","その他試験"
"おなかが痛い","病院に行ってね","その他試験"
"市販ツールのトライアル版を試したいのですが、申請書の書式はどれですか？","書式１－２でお願いします。","システム依頼書"
"PCが重い・固まる・起動しない","しばらくお待ちください。待っても状況が変わらない場合は再起動してください。","PC管理カンリ"
"ADアカウントの初期パスワードでログインできません","本人確認後に初期パスワードの再発行を行います。初回ログインURLが正しいかも確認してください。","アカウント管理"
"ADアカウントがロックされました","連続誤入力によるロックの可能性があります。情シスで解除し、必要に応じてパスワードを再設定します。","アカウント管理"
"ADアカウントのパスワード変更画面が表示されません","SSO経由ではなく指定のパスワード変更ページから操作してください。ブラウザ再起動後も改善しない場合はご連絡ください。","アカウント管理"
"ADアカウントの表示名を変更したいです","人事マスタ反映後に変更可能です。正式な氏名変更依頼が完了しているか確認してください。","アカウント管理"
"ADアカウントの部署情報が古いままです","人事システムとの同期タイミングにより反映が遅れる場合があります。翌営業日以降も変わらなければ情シスで確認します。","アカウント管理"
"ADアカウントにサインインすると多要素認証の登録を求められます","初回利用時はMFA登録が必要です。案内手順に沿って認証アプリまたはSMSを登録してください。","アカウント管理"
"ADアカウントのパスワード有効期限が切れました","期限切れの場合はセルフサービスまたは情シス依頼で再設定してください。旧パスワードの再利用制限に注意してください。","アカウント管理"
"ADアカウントに不要な権限が付与されています","権限棚卸のため対象権限名と利用理由をお知らせください。上長承認後に削除対応します。","アカウント管理"
"ADアカウントのグループメンバーに追加されていません","申請承認状況を確認し、未反映であればグループ同期または手動追加を行います。","アカウント管理"
"ADアカウントを削除してほしいです","対象アカウントの用途と退職・異動情報を確認後、関連データ保全を行ってから削除します。","アカウント管理"
"Microsoft 365アカウントの初期パスワードでログインできません","本人確認後に初期パスワードの再発行を行います。初回ログインURLが正しいかも確認してください。","アカウント管理"
"Microsoft 365アカウントがロックされました","連続誤入力によるロックの可能性があります。情シスで解除し、必要に応じてパスワードを再設定します。","アカウント管理"
"Microsoft 365アカウントのパスワード変更画面が表示されません","SSO経由ではなく指定のパスワード変更ページから操作してください。ブラウザ再起動後も改善しない場合はご連絡ください。","アカウント管理"
"Microsoft 365アカウントの表示名を変更したいです","人事マスタ反映後に変更可能です。正式な氏名変更依頼が完了しているか確認してください。","アカウント管理"
"Microsoft 365アカウントの部署情報が古いままです","人事システムとの同期タイミングにより反映が遅れる場合があります。翌営業日以降も変わらなければ情シスで確認します。","アカウント管理"
"Microsoft 365アカウントにサインインすると多要素認証の登録を求められます","初回利用時はMFA登録が必要です。案内手順に沿って認証アプリまたはSMSを登録してください。","アカウント管理"
"Microsoft 365アカウントのパスワード有効期限が切れました","期限切れの場合はセルフサービスまたは情シス依頼で再設定してください。旧パスワードの再利用制限に注意してください。","アカウント管理"
"Microsoft 365アカウントに不要な権限が付与されています","権限棚卸のため対象権限名と利用理由をお知らせください。上長承認後に削除対応します。","アカウント管理"
"Microsoft 365アカウントのグループメンバーに追加されていません","申請承認状況を確認し、未反映であればグループ同期または手動追加を行います。","アカウント管理"
"Microsoft 365アカウントを削除してほしいです","対象アカウントの用途と退職・異動情報を確認後、関連データ保全を行ってから削除します。","アカウント管理"
"Google Workspaceアカウントの初期パスワードでログインできません","本人確認後に初期パスワードの再発行を行います。初回ログインURLが正しいかも確認してください。","アカウント管理"
"Google Workspaceアカウントがロックされました","連続誤入力によるロックの可能性があります。情シスで解除し、必要に応じてパスワードを再設定します。","アカウント管理"
"Google Workspaceアカウントのパスワード変更画面が表示されません","SSO経由ではなく指定のパスワード変更ページから操作してください。ブラウザ再起動後も改善しない場合はご連絡ください。","アカウント管理"
"Google Workspaceアカウントの表示名を変更したいです","人事マスタ反映後に変更可能です。正式な氏名変更依頼が完了しているか確認してください。","アカウント管理"
"Google Workspaceアカウントの部署情報が古いままです","人事システムとの同期タイミングにより反映が遅れる場合があります。翌営業日以降も変わらなければ情シスで確認します。","アカウント管理"
"Google Workspaceアカウントにサインインすると多要素認証の登録を求められます","初回利用時はMFA登録が必要です。案内手順に沿って認証アプリまたはSMSを登録してください。","アカウント管理"
"Google Workspaceアカウントのパスワード有効期限が切れました","期限切れの場合はセルフサービスまたは情シス依頼で再設定してください。旧パスワードの再利用制限に注意してください。","アカウント管理"
"Google Workspaceアカウントに不要な権限が付与されています","権限棚卸のため対象権限名と利用理由をお知らせください。上長承認後に削除対応します。","アカウント管理"
"Google Workspaceアカウントのグループメンバーに追加されていません","申請承認状況を確認し、未反映であればグループ同期または手動追加を行います。","アカウント管理"
"Google Workspaceアカウントを削除してほしいです","対象アカウントの用途と退職・異動情報を確認後、関連データ保全を行ってから削除します。","アカウント管理"
"基幹システムIDの初期パスワードでログインできません","本人確認後に初期パスワードの再発行を行います。初回ログインURLが正しいかも確認してください。","アカウント管理"
"基幹システムIDがロックされました","連続誤入力によるロックの可能性があります。情シスで解除し、必要に応じてパスワードを再設定します。","アカウント管理"
"基幹システムIDのパスワード変更画面が表示されません","SSO経由ではなく指定のパスワード変更ページから操作してください。ブラウザ再起動後も改善しない場合はご連絡ください。","アカウント管理"
"基幹システムIDの表示名を変更したいです","人事マスタ反映後に変更可能です。正式な氏名変更依頼が完了しているか確認してください。","アカウント管理"
"基幹システムIDの部署情報が古いままです","人事システムとの同期タイミングにより反映が遅れる場合があります。翌営業日以降も変わらなければ情シスで確認します。","アカウント管理"
"基幹システムIDにサインインすると多要素認証の登録を求められます","初回利用時はMFA登録が必要です。案内手順に沿って認証アプリまたはSMSを登録してください。","アカウント管理"
"基幹システムIDのパスワード有効期限が切れました","期限切れの場合はセルフサービスまたは情シス依頼で再設定してください。旧パスワードの再利用制限に注意してください。","アカウント管理"
"基幹システムIDに不要な権限が付与されています","権限棚卸のため対象権限名と利用理由をお知らせください。上長承認後に削除対応します。","アカウント管理"
"基幹システムIDのグループメンバーに追加されていません","申請承認状況を確認し、未反映であればグループ同期または手動追加を行います。","アカウント管理"
"基幹システムIDを削除してほしいです","対象アカウントの用途と退職・異動情報を確認後、関連データ保全を行ってから削除します。","アカウント管理"
"社内ポータルIDの初期パスワードでログインできません","本人確認後に初期パスワードの再発行を行います。初回ログインURLが正しいかも確認してください。","アカウント管理"
"社内ポータルIDがロックされました","連続誤入力によるロックの可能性があります。情シスで解除し、必要に応じてパスワードを再設定します。","アカウント管理"
"社内ポータルIDのパスワード変更画面が表示されません","SSO経由ではなく指定のパスワード変更ページから操作してください。ブラウザ再起動後も改善しない場合はご連絡ください。","アカウント管理"
"社内ポータルIDの表示名を変更したいです","人事マスタ反映後に変更可能です。正式な氏名変更依頼が完了しているか確認してください。","アカウント管理"
"社内ポータルIDの部署情報が古いままです","人事システムとの同期タイミングにより反映が遅れる場合があります。翌営業日以降も変わらなければ情シスで確認します。","アカウント管理"
"社内ポータルIDにサインインすると多要素認証の登録を求められます","初回利用時はMFA登録が必要です。案内手順に沿って認証アプリまたはSMSを登録してください。","アカウント管理"
"社内ポータルIDのパスワード有効期限が切れました","期限切れの場合はセルフサービスまたは情シス依頼で再設定してください。旧パスワードの再利用制限に注意してください。","アカウント管理"
"社内ポータルIDに不要な権限が付与されています","権限棚卸のため対象権限名と利用理由をお知らせください。上長承認後に削除対応します。","アカウント管理"
